age,years_experience,education_level,salary,bonus,stock_options,performance_rating,projects_completed,client_satisfaction,hours_per_week,meetings_per_week,emails_per_day,bmi,blood_pressure_systolic,blood_pressure_diastolic,resting_heart_rate,technical_skills,soft_skills,certifications,vacation_days_used,sick_days_used,remote_work_days
39,2.3,2,65027,0,14986,3.88,9,4.27,42.6,8,38,27.2,125,88,62,8.8,7.4,3,22,2,0
34,6.3,2,76339,7285,8823,3.82,6,4.33,46.0,4,35,29.9,130,83,74,9.9,7.0,6,25,5,4
40,6.6,1,94003,1207,12339,3.28,17,4.36,40.5,7,27,23.1,122,87,71,7.2,8.7,1,17,3,1
47,4.8,1,71208,6198,10075,3.73,11,4.24,32.5,8,6,23.9,114,85,69,7.3,8.4,3,10,6,4
33,7.4,1,73517,4664,3172,3.83,10,4.36,43.2,6,19,20.4,126,94,65,6.1,9.0,2,14,3,3
33,9.6,3,67223,5570,12521,2.85,4,4.16,52.3,11,24,24.9,104,72,79,6.3,6.6,2,17,2,3
48,15.5,5,82587,4056,7484,3.36,6,4.19,40.5,8,18,27.8,109,83,86,8.5,8.0,5,3,2,4
41,8.7,2,72971,5434,15227,3.8,18,3.86,31.5,4,24,26.1,127,63,74,6.7,6.7,3,17,3,3
31,9.0,2,76237,4056,8821,4.35,13,4.29,40.8,4,38,29.9,106,69,75,6.4,5.9,5,17,4,3
39,7.7,3,92134,3888,9616,3.91,17,3.68,40.0,10,12,24.1,118,79,67,7.0,7.4,5,22,4,2
31,0.3,2,68405,3206,18415,4.39,16,4.29,39.6,4,39,19.1,119,83,62,8.8,6.1,2,21,4,3
31,7.9,1,60936,8052,21908,3.3,8,4.12,44.7,9,32,24.5,115,79,72,5.6,9.3,2,16,4,1
37,8.2,5,71694,5734,13930,3.63,22,4.31,46.9,9,27,18.5,100,75,64,6.9,6.2,2,23,3,1
22,17.9,4,82044,5419,8564,3.9,20,3.89,43.4,5,19,22.4,114,77,58,7.5,8.0,2,25,1,5
22,7.2,2,72521,3249,8127,2.34,10,3.56,39.3,11,18,28.9,112,91,78,9.3,6.6,4,15,1,1
30,9.2,1,80910,4530,5907,4.26,1,4.09,45.6,3,12,25.0,122,77,79,6.5,7.9,3,17,5,2
27,7.9,4,54965,3026,6874,2.57,11,3.89,32.5,9,39,24.5,121,94,65,5.6,6.7,2,6,4,2
38,3.3,5,51979,4018,8632,4.0,13,3.67,36.4,8,37,29.5,124,86,74,6.0,5.6,1,8,0,2
28,12.6,4,56824,2582,19821,3.84,10,4.43,37.0,8,14,23.2,113,84,80,9.1,8.2,3,11,5,3
24,11.0,1,45989,8178,9014,2.33,11,4.68,39.8,4,21,27.8,125,70,74,10.0,7.1,2,13,7,3
47,11.2,4,66654,3486,3870,2.36,9,3.96,42.5,5,28,24.4,104,87,62,4.4,7.9,3,10,2,1
